listing_id,area_sqm,rooms,price_cold,lv95_east,lv95_north,population
1,34,2.0,850,2687446.25,1248599.0,44.0
2,108,4.0,1990,2642156.0,1130267.625,107.0
3,81,2.0,2200,2534980.0,1153490.0,252.0
4,97,4.0,1520,2597233.25,1226600.375,184.0
5,23,1.0,1396,2532786.25,1155625.25,129.0
6,76,3.0,1400,2583429.75,1231621.0,48.0
7,60,2.0,1660,2665647.25,1212229.25,92.0
8,98,4.0,1680,2595577.75,1199793.0,208.0
9,23,1.0,850,2665175.25,1209052.625,125.0
11,65,3.0,1420,2599571.5,1198029.375,146.0
12,58,2.0,1530,2701910.5,1242039.375,43.0
13,46,2.0,1400,2679532.0,1247224.5,123.0
15,60,3.0,1080,2746303.5,1255896.375,76.0
16,108,4.0,1870,2694236.25,1253427.0,129.0
17,20,1.0,750,2658798.5,1251069.625,26.0
18,46,2.0,1450,2665415.0,1211822.0,41.0
19,115,4.0,2650,2561008.25,1204518.0,74.0
20,24,1.0,1000,2539631.0,1153659.25,122.0
21,77,3.0,2360,2663742.75,1199294.625,56.0
22,93,3.0,1550,2562405.5,1122598.125,232.0
23,18,1.0,570,2738568.5,1250317.5,57.0
24,86,3.0,1690,2704721.0,1113308.875,74.0
25,30,1.0,808,2695327.0,1229688.0,5.0
26,32,1.0,830,2610310.25,1265989.75,64.0
27,75,2.0,1808,2700002.5,1262261.0,198.0
28,70,3.0,1975,2601463.0,1199697.375,196.0
29,47,1.0,1455,2688235.25,1250199.75,108.0
30,29,1.0,620,2691353.0,1283753.625,97.0
31,88,4.0,1680,2696299.75,1260931.375,266.0
32,81,3.0,1250,2689750.75,1284135.625,90.0
33,120,4.0,1900,2684678.75,1247844.0,26.0
34,59,2.0,858,2612745.25,1266942.875,101.0
35,35,2.0,1290,2664798.5,1211870.0,42.0
36,56,2.0,1050,2583429.75,1231621.0,48.0
37,15,1.0,850,2683424.5,1251711.75,
38,81,3.0,1269,2720225.5,1230408.125,121.0
39,47,2.0,1160,2581482.0,1188126.125,40.0
40,70,3.0,1400,2737985.75,1249604.375,9.0
41,150,5.0,1200,2678743.75,1248984.875,193.0
43,73,4.0,1620,2672198.5,1251349.0,169.0
44,90,4.0,1390,2731500.5,1253043.125,24.0
45,80,3.0,990,2747357.25,1255933.0,188.0
46,126,4.0,1340,2612745.25,1266942.875,101.0
47,62,3.0,1100,2579584.0,1184660.75,44.0
49,113,4.0,1330,2744734.0,1253995.75,75.0
50,87,3.0,1690,2665020.5,1211866.0,100.0
51,47,2.0,1320,2611722.25,1268380.75,370.0
52,49,2.0,960,2611923.0,1268233.25,246.0
53,68,3.0,1100,2585736.5,1220193.75,212.0
54,61,2.0,1800,2687169.5,1251162.625,85.0
55,80,3.0,1590,2687254.75,1234730.875,125.0
56,20,1.0,850,2682830.25,1249533.25,60.0
57,25,1.0,850,2599134.5,1198880.875,180.0
